Order_ID,Customer_ID,Customer_Name,Email,Phone,Movie_Title,Theatre,City,Show_Date,Show_Time,Booking_Date,Seat_Type,Quantity,Price,Discount,Total_Amount,Payment_Mode,Payment_Status,Booking_Channel,Seat_Numbers,Feedback_Score,Remarks,Sales_Agent,Is_Refunded,Booking_ID,Screen,Ticket_Type,Promo_Code,Loyalty_Points
ORD109243,CUST11870,Sangeetha K,sangeetha928@example.com,98765 43210,Hidden Truths,PVR Phoenix,,15-02-2024,23:00,12-02-2024,,-1,1430.89,-5,,UPI,,online,,6,,Agent C,TRUE,BKG76227,Screen 2,Combo,,10
ORD100260,CUST60338,John Doe,john330@example.com,12345,The Last Frontier,,Bengaluru,09-01-2019,18:45,09-01-2019,Balcony,2,1258.75,-5,2653.38,card,Paid,,"C3,C1",-1,,Agent C,FALSE,BKG56919,,Combo,NEW50,
ORD104774,CUST11633,Sangeetha K,sangeetha53@example.com,9.18331E+11,Broken Strings,Regal Cinema,Delhi,09-07-2019,12:15,09-06-2019,Reguler,0,1262.63,50,,UPI,,Box Office,,,VIP guest,Agent B,FALSE,BKG42987,Screen 3,,,50
ORD104497,CUST8055,,user786@example.com,9.16046E+11,,PVR Phoenix,Delhi,13-09-2022,12:00,19-08-2022,Balcony,,239.67,15,,Card,Pending,third party,,3,,Agent B,TRUE,BKG23015,,Combo,,200
ORD105720,CUST73864,Ravi Kumar,ravi505@example.com,12345,Hidden Truths,Inox Mall,Pune,04-04-2021,16:00,15-03-2021,premium ,,,50,2467.52,UPI,,third party,,,Cancelled,Agent C,TRUE,BKG50554,Screen 1,Combo,NEW50,100
ORD103851,CUST15918,Sangeetha K,sangeetha642@example.com,98765 43210,Love & Pixels,Grand Theatre,,13-04-2021,18:45,19-03-2021,Regular,4,952.31,-5,4009.72,card,Pending,,"C26,A28,B12,B24",6,,Agent A,TRUE,BKG20540,Screen 1,Family,save10,100
ORD102028,CUST95112,Sangeetha K,sangeetha755@example.com,,Final Alarm,Cinepolis Plaza,Bengaluru,09-03-2023,12:00,03-03-2023,VIP,0,1426.29,5,,,,,,5,VIP guest,Agent C,TRUE,BKG57007,Screen 3,Family,FREESNACK,200
ORD105318,CUST47834,John Doe,john125@example.com,,Final Alarm,Inox Mall,Bengaluru,30-10-2025,11:15,01-10-2025,,4,1095.82,-5,4602.46,Cash,Failed,Third-Party,"A28,C28,B17,B1",2,,Agent C,,BKG83199,Screen 1,Combo,NEW50,
ORD100130,CUST55099,Ravi Kumar,ravi767@example.com,12345,Final Alarm,,Chennai,02-04-2021,12:30,12-03-2021,Balcony,2,1165.41,10,2077.74,card,Failed,,"A25,B18",-1,,,TRUE,BKG65363,Screen 1,Single,NEW50,50
ORD104525,CUST94427,John Doe,john73example.com,,Final Alarm,Inox Mall,Bengaluru,29-08-2020,21:45,23-08-2020,premium ,4,275.33,15,916.14,,,online,"B4,A25,A12,A13",6,,Agent C,,BKG42619,Screen 3,Family,,0
ORD101141,CUST26085,,user117@example.com,9.16109E+11,Love & Pixels,Inox Mall,Mumbai,20-10-2024,14:15,14-10-2024,premium ,0,645.34,10,,Cash,Failed,Box Office,,5,,Agent B,FALSE,BKG43003,,Combo,save10,50
ORD106105,CUST2703,Sangeetha K,sangeetha363@example.com,12345,Midnight Sonata,PVR Phoenix,,21-12-2022,09:45,08-12-2022,,1,449.12,,459.12,UPI,Pending,,B10,2,,Agent A,FALSE,BKG39600,Screen 2,,FREESNACK,0
ORD108483,CUST19364,John Doe,john44@example.com,,The Silent Echo,,Delhi,14-12-2022,22:00,23-11-2022,Balcony,3,948.74,-5,2988.54,Card,Pending,online,"B16,B27,B21",-1,,Agent B,FALSE,BKG39669,Screen 1,Single,,100
ORD102438,CUST13573,Sangeetha K,sangeetha815@example.com,,Final Alarm,,Hyderabad,07-09-2019,22:45,09-08-2019,Balcony,2,1032.68,-5,2168.64,card,,Third-Party,"C30,B3",1,Late arrival,Agent A,,BKG44100,Screen 1,Combo,FREESNACK,0
ORD101545,CUST84627,,user140@example.com,,,PVR Phoenix,Bengaluru,25-09-2022,22:15,04-09-2022,,0,1318.71,25,,Card,Paid,,,1,VIP guest,Agent C,FALSE,BKG49751,Screen 1,Combo,save10,200
ORD102168,CUST72614,Amit Sharma,amit266@example.com,9.16743E+11,,Grand Theatre,Chennai,05-02-2020,21:00,25-01-2020,premium ,4,605.1,,2400.39,Cahs,Failed,online,"A18,B28,A13,B24",-1,,Agent C,TRUE,BKG82307,,Family,NEW50,
ORD109110,CUST63257,John Doe,,,Broken Strings,Inox Mall,Delhi,23-03-2024,13:45,21-03-2024,,4,328.3,,1323.21,,Pending,third party,"C21,A3,C10,B20",1,Cancelled,,FALSE,BKG77472,,,FREESNACK,50
ORD100574,CUST80443,Ravi Kumar,ravi655@example.com,98765 43210,Broken Strings,Grand Theatre,Ahmedabad,07-05-2020,22:45,25-04-2020,Balcony,3,969.06,,2917.18,Card,Pending,Box Office,"B10,A16,B19",5,Late arrival,Agent B,FALSE,BKG67264,Screen 2,Combo,,100
ORD107466,CUST66563,Priya Singh,priya403@example.com,12345,The Last Frontier,,Bengaluru,28-01-2020,15:30,01-01-2020,Reguler,4,722.73,25,2168.19,UPI,Failed,online,"C21,C13,C18,B24",1,,,TRUE,BKG42830,Screen 3,Combo,,0
ORD101820,CUST78171,Amit Sharma,amit9@example.com,98765 43210,,Grand Theatre,Bengaluru,22-03-2020,14:00,04-03-2020,,4,1271.27,25,3823.81,Cash,,,"B10,B13,A17,C30",5,Cancelled,Agent A,,BKG93265,Screen 2,Combo,save10,10
ORD106886,CUST69265,Ravi Kumar,,9.16945E+11,The Silent Echo,Cinepolis Plaza,Mumbai,15-07-2022,19:15,21-06-2022,premium ,4,637.28,5,2401.66,Cahs,,third party,"B16,A27,B24,A25",6,,Agent A,TRUE,BKG46244,Screen 3,,,
ORD105795,CUST33016,,user18@example.com,9.18799E+11,Hidden Truths,Grand Theatre,Mumbai,01-01-2025,18:45,02-12-2024,Premium,4,1113.22,25,3339.67,Cash,Failed,,"B20,C4,A5,A9",4,,Agent B,TRUE,BKG35181,Screen 3,,NEW50,
ORD104512,CUST91940,Ravi Kumar,ravi30@example.com,98765 43210,Love & Pixels,Inox Mall,Ahmedabad,18-09-2019,10:15,24-08-2019,VIP,2,1407.16,50,1387.16,Online,Pending,Third-Party,"C12,B26",4,,Agent B,,BKG72021,Screen 3,Family,,
ORD108755,CUST94845,,user2@example.com,9.17761E+11,The Silent Echo,Grand Theatre,Ahmedabad,09-04-2024,11:15,28-03-2024,Balcony,3,1272.77,15,3225.57,Online,Pending,Box Office,"B3,C16,C8",5,Cancelled,Agent B,TRUE,BKG79590,,,NEW50,
ORD109068,CUST86635,John Doe,john524@example.com,9.17157E+11,,Cinepolis Plaza,Bengaluru,17-10-2025,12:30,14-10-2025,VIP,2,721.13,10,1278.04,,Failed,third party,"C1,C3",6,VIP guest,Agent B,TRUE,BKG27418,,,NEW50,50
ORD106438,CUST96858,Amit Sharma,amit459@example.com,9.17819E+11,Space Riders,PVR Phoenix,Hyderabad,03-12-2021,15:30,03-11-2021,,1,1369.65,10,1232.69,Card,Paid,Online,B1,-1,VIP guest,Agent C,TRUE,BKG29497,Screen 3,Combo,,
ORD101410,CUST23672,,user723@example.com,,Love & Pixels,Inox Mall,Pune,24-11-2024,17:45,24-11-2024,Regular,3,395.51,50,603.26,card,Paid,Box Office,"C24,B7,C3",5,Late arrival,Agent A,FALSE,BKG60816,Screen 2,Family,save10,100
ORD107056,CUST91503,Priya Singh,priya961@example.com,98765 43210,Midnight Sonata,Inox Mall,Hyderabad,09-03-2023,18:15,17-02-2023,premium ,1,493.45,5,448.77,card,,third party,A27,1,,Agent A,TRUE,BKG12973,Screen 3,,,100
ORD104738,CUST13358,Amit Sharma,amit325@example.com,9.17912E+11,Hidden Truths,Cinepolis Plaza,Ahmedabad,11-08-2024,17:00,30-07-2024,,1,,10,,Card,Paid,online,A14,1,Late arrival,Agent B,TRUE,BKG10398,Screen 2,Combo,NEW50,50
ORD101308,CUST43719,Ravi Kumar,ravi754@example.com,98765 43210,The Silent Echo,,Mumbai,27-04-2024,17:00,04-04-2024,premium ,2,1286.54,15,2167.11,card,Failed,online,"B9,C14",2,Late arrival,,TRUE,BKG93756,Screen 2,,FREESNACK,
ORD109041,CUST61952,Priya Singh,priya871@example.com,98765 43210,The Last Frontier,Regal Cinema,Kolkata,29-06-2021,20:15,24-06-2021,VIP,-1,500.24,25,,card,,Box Office,,6,,Agent C,FALSE,BKG86581,Screen 3,Single,save10,
ORD109151,CUST74570,Amit Sharma,amit750@example.com,9.17054E+11,Ocean's Whisper,Inox Mall,Hyderabad,29-11-2023,09:30,15-11-2023,Premium,,728.6,50,,Cash,Paid,,,3,Cancelled,,FALSE,BKG35535,Screen 2,,FREESNACK,0
ORD100988,CUST58133,Sangeetha K,sangeetha476example.com,12345,House of Tricks,,Hyderabad,12-03-2025,09:00,02-03-2025,Regular,4,1116.07,25,3348.22,card,,,"A17,A19,A10,A4",,,Agent C,TRUE,BKG63470,,Single,FREESNACK,
ORD100218,CUST61357,Amit Sharma,amit135@example.com,12345,House of Tricks,,Hyderabad,23-07-2020,22:45,25-06-2020,Reguler,0,1185.2,10,,Card,Paid,Box Office,,3,Late arrival,Agent B,,BKG27067,Screen 1,,NEW50,
ORD100625,CUST21632,Sangeetha K,sangeetha309@example.com,12345,Midnight Sonata,,Mumbai,29-01-2024,18:45,22-01-2024,premium ,2,206.78,0,413.57,card,Paid,online,"C27,B30",3,Late arrival,Agent A,TRUE,BKG81956,,Single,,10
ORD102311,CUST30231,Priya Singh,priya860@example.com,,Broken Strings,PVR Phoenix,,16-05-2025,22:30,10-05-2025,Premium,3,281.53,5,812.35,Card,Paid,Box Office,"C11,C18,A22",3,,Agent C,,BKG55889,Screen 2,Family,FREESNACK,
ORD109447,CUST82742,Ravi Kumar,ravi492@example.com,12345,Space Riders,,Kolkata,06-03-2023,09:45,20-02-2023,VIP,3,343.72,5,979.6,card,Paid,online,"C4,C3,B30",2,Late arrival,Agent C,,BKG16956,,Single,,0
ORD104967,CUST54167,,user382@example.com,,Broken Strings,Grand Theatre,Hyderabad,15-01-2024,19:00,24-12-2023,Regular,1,260.25,,260.25,UPI,Paid,Online,C24,6,VIP guest,,TRUE,BKG54976,Screen 1,Family,,10
ORD100712,CUST6978,,user613@example.com,,The Last Frontier,Inox Mall,Kolkata,13-04-2022,15:30,20-03-2022,,4,521.29,10,1876.63,UPI,Paid,online,"A1,B7,A27,C15",2,VIP guest,,,BKG73004,Screen 2,,NEW50,0
ORD105877,CUST11744,Priya Singh,priya39@example.com,,Hidden Truths,Grand Theatre,Pune,27-09-2024,09:45,15-09-2024,Balcony,4,390.05,5,1462.21,Cahs,Failed,Box Office,"C1,A24,C11,B27",4,VIP guest,Agent C,TRUE,BKG55314,,,FREESNACK,100
ORD108634,CUST5485,John Doe,john402@example.com,9.19645E+11,Midnight Sonata,PVR Phoenix,Ahmedabad,13-06-2025,18:00,08-06-2025,,-1,336.26,5,,,Failed,,,5,Late arrival,Agent C,,BKG93458,Screen 1,Family,save10,
ORD105282,CUST86851,Amit Sharma,amit216@example.com,9.17609E+11,House of Tricks,PVR Phoenix,Chennai,24-02-2019,20:45,09-02-2019,Balcony,,-50,-5,,UPI,Pending,,,3,Late arrival,Agent A,,BKG97218,Screen 2,,NEW50,100
ORD101576,CUST34415,,user170@example.com,,Love & Pixels,PVR Phoenix,Hyderabad,30-12-2023,17:45,24-12-2023,Reguler,1,1327.25,,1327.25,,,Box Office,A24,-1,Late arrival,,FALSE,BKG40742,,Combo,NEW50,10
ORD109579,CUST56724,Priya Singh,priya854@example.com,98765 43210,Ocean's Whisper,,Pune,15-03-2023,22:00,13-02-2023,Premium,3,1090.6,50,1615.9,,,Online,"A1,B22,C25",-1,,Agent C,,BKG70635,,,,200
ORD106635,CUST23166,Amit Sharma,amit814@example.com,12345,Ocean's Whisper,Cinepolis Plaza,Delhi,23-07-2021,10:45,10-07-2021,Regular,2,846.43,50,856.43,UPI,Failed,,"B12,B25",4,VIP guest,Agent C,TRUE,BKG28985,Screen 3,Combo,FREESNACK,
ORD109979,CUST98438,Amit Sharma,amit32example.com,12345,Final Alarm,Regal Cinema,Mumbai,22-07-2023,11:15,02-07-2023,Balcony,0,-50,,,Online,,third party,,4,,Agent B,,BKG54357,Screen 3,,,0
ORD105232,CUST23303,,user349@example.com,12345,House of Tricks,Inox Mall,Pune,14-08-2019,11:00,22-07-2019,,0,1167.03,10,,Card,Failed,Third-Party,,5,,,FALSE,BKG54325,Screen 2,,NEW50,50
ORD103907,CUST24928,John Doe,john276@example.com,12345,Broken Strings,Grand Theatre,,28-11-2020,17:45,29-10-2020,Balcony,0,291.67,50,,Cahs,,Third-Party,,3,,Agent A,TRUE,BKG81803,Screen 1,Combo,save10,0
ORD101990,CUST96657,,user949@example.com,12345,Ocean's Whisper,,Delhi,29-06-2020,17:00,31-05-2020,,3,1236.76,10,3339.25,Card,Paid,,"C25,B7,A13",2,VIP guest,,FALSE,BKG82557,Screen 3,,NEW50,0
ORD102038,CUST23848,Ravi Kumar,ravi254@example.com,12345,Love & Pixels,PVR Phoenix,Bengaluru,01-02-2024,10:00,21-01-2024,Reguler,1,1205.1,-5,1245.35,card,,,A23,,Cancelled,Agent B,FALSE,BKG38433,Screen 1,Family,save10,100
ORD101915,CUST60249,Amit Sharma,amit764@example.com,12345,Space Riders,PVR Phoenix,Bengaluru,11-02-2020,21:00,10-02-2020,Reguler,4,592.9,-5,2500.16,Cash,Paid,Online,"A17,B18,B11,B6",,VIP guest,,TRUE,BKG28637,Screen 2,Combo,NEW50,200
ORD105238,CUST90671,Ravi Kumar,ravi393@example.com,98765 43210,Broken Strings,Regal Cinema,Mumbai,10-09-2024,14:15,28-08-2024,VIP,,450.9,15,,Online,Pending,online,,2,,Agent A,,BKG26114,Screen 3,Combo,save10,50
ORD103832,CUST63625,Ravi Kumar,ravi187@example.com,,Ocean's Whisper,,Ahmedabad,30-06-2024,21:00,16-06-2024,VIP,1,455.63,,435.63,Card,,Third-Party,A25,6,Late arrival,Agent C,,BKG50307,Screen 3,Combo,,
ORD105581,CUST87794,Priya Singh,priya541@example.com,12345,Midnight Sonata,Grand Theatre,Pune,09-01-2022,23:00,08-01-2022,VIP,1,480.52,5,456.49,UPI,Paid,Online,C30,3,VIP guest,,TRUE,BKG87545,,Family,save10,200
ORD101668,CUST89263,John Doe,john956@example.com,98765 43210,Space Riders,Grand Theatre,Bengaluru,28-08-2022,13:45,18-08-2022,,-1,1210.51,25,,Cash,Paid,online,,2,VIP guest,Agent C,,BKG17019,Screen 2,,,0
ORD104673,CUST54253,,user520@example.com,,House of Tricks,,Chennai,24-01-2022,18:30,28-12-2021,Regular,3,1085.05,10,2929.65,Online,,Online,"C26,A27,C19",3,Cancelled,Agent B,TRUE,BKG16705,Screen 3,,,
ORD104388,CUST38470,John Doe,john133@example.com,,The Silent Echo,Grand Theatre,Mumbai,13-01-2021,18:00,07-01-2021,Balcony,2,641.88,,1263.76,Cahs,Failed,online,"B18,B20",-1,,Agent C,,BKG42056,Screen 3,Combo,,100
ORD104523,CUST59888,Sangeetha K,,9.17022E+11,The Last Frontier,PVR Phoenix,Chennai,03-11-2021,23:15,08-10-2021,Reguler,-1,231.53,,,Cash,Pending,third party,,3,VIP guest,Agent C,FALSE,BKG39870,,,NEW50,200
ORD108573,CUST23822,Priya Singh,priya451@example.com,98765 43210,The Last Frontier,Cinepolis Plaza,Delhi,22-06-2024,13:00,29-05-2024,,-1,691.25,10,,card,Failed,Box Office,,3,Late arrival,Agent A,FALSE,BKG38744,,Family,FREESNACK,
ORD108756,CUST4512,Ravi Kumar,ravi125@example.com,98765 43210,The Last Frontier,Regal Cinema,Delhi,24-09-2019,11:15,26-08-2019,Regular,4,870.03,10,3142.1,,Failed,Box Office,"C10,C23,C30,A28",5,Late arrival,Agent A,FALSE,BKG65874,,Combo,save10,100
ORD106896,CUST67784,Amit Sharma,amit703example.com,12345,Love & Pixels,Regal Cinema,Ahmedabad,09-10-2022,10:00,03-10-2022,,2,615.28,5,1169.03,UPI,Pending,online,"A5,C18",4,Cancelled,Agent A,,BKG79279,Screen 3,Family,save10,100
ORD108040,CUST75163,,user765@example.com,,Love & Pixels,Inox Mall,Mumbai,04-01-2025,23:00,10-12-2024,,-1,980.38,15,2235.77,Cahs,Failed,,,1,VIP guest,Agent B,FALSE,BKG73741,Screen 2,,save10,0
ORD101731,CUST13611,Ravi Kumar,ravi273@example.com,9.16653E+11,Midnight Sonata,Cinepolis Plaza,Bengaluru,05-12-2019,20:45,10-11-2019,Reguler,1,-50,10,-35,Online,Failed,online,A30,5,Late arrival,Agent C,FALSE,BKG23200,Screen 1,Single,FREESNACK,50
ORD105553,CUST34485,Sangeetha K,sangeetha848@example.com,,Hidden Truths,Regal Cinema,Delhi,10-04-2020,10:15,29-03-2020,,0,593.72,15,,,Paid,Box Office,,-1,,,,BKG56995,Screen 2,Family,,200
ORD105488,CUST59351,John Doe,john373@example.com,12345,House of Tricks,Grand Theatre,Kolkata,06-02-2019,10:45,23-01-2019,Premium,2,125.68,10,226.22,card,Paid,Online,"B5,B20",,,Agent B,,BKG78584,,Family,save10,0
ORD108979,CUST42541,John Doe,john285@example.com,,Broken Strings,PVR Phoenix,Kolkata,12-09-2024,18:00,12-09-2024,premium ,1,566.92,15,491.88,,Paid,Online,A20,4,,,FALSE,BKG75351,Screen 3,Combo,NEW50,
ORD106467,CUST14068,John Doe,john16@example.com,,Space Riders,PVR Phoenix,Mumbai,01-07-2019,21:00,26-06-2019,Reguler,-1,1014.91,0,1962.71,Cahs,Failed,Box Office,,3,,Agent B,TRUE,BKG29265,Screen 3,Combo,FREESNACK,200
ORD104429,CUST52008,Ravi Kumar,ravi731@example.com,9.19983E+11,The Silent Echo,Grand Theatre,Pune,09-08-2022,13:45,17-07-2022,Regular,-1,959.57,,,Cash,,Online,,4,,Agent C,TRUE,BKG98648,Screen 3,Single,NEW50,10
ORD106116,CUST45150,Ravi Kumar,ravi751@example.com,,Space Riders,,Hyderabad,28-07-2024,23:45,19-07-2024,,4,184.97,25,554.91,Online,Failed,third party,"C5,A28,C20,B25",1,VIP guest,Agent A,TRUE,BKG59250,Screen 3,Single,save10,10
ORD103431,CUST48826,Priya Singh,priya354@example.com,98765 43210,Space Riders,Regal Cinema,Mumbai,13-08-2024,16:15,03-08-2024,VIP,4,243.83,10,877.78,Cash,Paid,third party,"C13,A11,C30,C6",,,,TRUE,BKG36287,Screen 3,,,0
ORD107934,CUST55832,John Doe,john661@example.com,,Hidden Truths,Inox Mall,Chennai,26-03-2023,23:45,20-03-2023,,0,1216.36,0,,Cahs,,Box Office,,1,Late arrival,Agent B,FALSE,BKG25287,,Combo,save10,100
ORD102619,CUST43655,Ravi Kumar,ravi399@example.com,9.17675E+11,House of Tricks,,Ahmedabad,29-06-2025,22:45,08-06-2025,Reguler,,444.06,,,card,Paid,Box Office,,4,VIP guest,Agent B,TRUE,BKG46528,Screen 1,Single,,200
ORD100676,CUST71303,Amit Sharma,amit592@example.com,9.18112E+11,House of Tricks,Cinepolis Plaza,Mumbai,03-04-2019,20:15,08-03-2019,premium ,,640.05,50,,card,,online,,4,Late arrival,Agent C,TRUE,BKG96113,Screen 3,Single,save10,200
ORD101233,CUST7622,Priya Singh,priya210@example.com,98765 43210,Midnight Sonata,PVR Phoenix,,08-07-2020,12:15,02-07-2020,Regular,2,1496.18,5,2852.74,Cahs,Failed,Third-Party,"C26,A15",1,Late arrival,,,BKG28168,,Single,save10,50
ORD101988,CUST24862,Sangeetha K,sangeetha727example.com,9.19667E+11,The Silent Echo,PVR Phoenix,,28-06-2025,11:15,09-06-2025,Regular,,1102.25,10,3188.71,Cash,Pending,online,,1,VIP guest,Agent C,TRUE,BKG77405,,Single,save10,0
ORD106708,CUST24919,Ravi Kumar,ravi896@example.com,9.16613E+11,Hidden Truths,Regal Cinema,,06-06-2021,19:15,27-05-2021,,4,734.66,0,2938.64,card,Pending,third party,"B22,A24,B17,A9",-1,VIP guest,,,BKG56641,Screen 3,Family,save10,
ORD105570,CUST2014,Priya Singh,priya891@example.com,98765 43210,Final Alarm,Grand Theatre,Pune,21-10-2021,14:45,28-09-2021,Reguler,0,545.53,5,-20.24,Card,Failed,,,3,VIP guest,Agent B,FALSE,BKG77646,Screen 1,,FREESNACK,100
ORD107944,CUST18374,Priya Singh,priya666@example.com,9.19881E+11,The Silent Echo,Grand Theatre,Pune,21-04-2025,13:00,07-04-2025,Balcony,-1,550.49,50,1326.79,Cash,,online,,4,VIP guest,Agent C,FALSE,BKG32356,Screen 1,Family,save10,100
ORD103913,CUST85762,Priya Singh,priya177@example.com,98765 43210,Final Alarm,Grand Theatre,Hyderabad,30-12-2024,14:15,22-12-2024,VIP,0,1195.34,25,4222.1,Cash,Failed,Box Office,,6,Cancelled,Agent C,TRUE,BKG70760,Screen 3,Single,NEW50,100
ORD106741,CUST62897,,,98765 43210,Space Riders,Cinepolis Plaza,Chennai,19-01-2023,14:00,22-12-2022,,,1036.49,,,,Pending,third party,,3,Late arrival,Agent C,TRUE,BKG46406,Screen 2,Combo,,10
ORD102293,CUST21665,,user453@example.com,12345,Midnight Sonata,Cinepolis Plaza,Delhi,20-03-2022,14:30,25-02-2022,Premium,4,0,50,10,Cash,Failed,Third-Party,"B18,C11,C19,A24",1,Late arrival,Agent C,FALSE,BKG43036,Screen 3,Family,,0
ORD105551,CUST47648,,user69@example.com,9.18571E+11,The Silent Echo,,Delhi,30-01-2020,14:00,28-01-2020,Reguler,0,0,-5,,Online,Failed,third party,,,VIP guest,,TRUE,BKG31751,Screen 2,,NEW50,100
ORD108668,CUST52663,,user243@example.com,,Broken Strings,,Hyderabad,09-12-2020,10:15,10-11-2020,Premium,3,416.17,,1248.5,,,Online,"A22,C30,C13",3,Late arrival,,FALSE,BKG49808,Screen 1,Family,FREESNACK,
ORD106672,CUST79553,Amit Sharma,amit421@example.com,12345,Midnight Sonata,Grand Theatre,Chennai,25-07-2024,09:00,09-07-2024,Premium,4,523.44,10,1894.4,Cahs,Failed,Online,"C20,B4,C18,B28",,Late arrival,Agent A,TRUE,BKG19582,Screen 2,,FREESNACK,100
ORD104197,CUST84848,,user570@example.com,98765 43210,The Silent Echo,Regal Cinema,Bengaluru,07-03-2025,09:00,14-02-2025,VIP,2,913.25,5,1745.17,Cash,Pending,Third-Party,"B6,C10",-1,Late arrival,Agent C,FALSE,BKG27589,,,NEW50,
ORD100397,CUST37924,Amit Sharma,amit502@example.com,12345,House of Tricks,Regal Cinema,Hyderabad,28-04-2022,21:00,11-04-2022,VIP,3,543.06,0,1639.19,UPI,Failed,,"A20,A12,C2",6,Late arrival,Agent B,TRUE,BKG26522,Screen 2,,save10,10
